Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-18 19:37:52.734120
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-18 19:37:52.734366
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-18 19:37:52.734529
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-18 19:37:52.734767
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-18 19:37:52.734933
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-18 19:37:52.735085
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-18 19:37:52.735235
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-18 19:37:52.735444
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-18 19:37:52.735679
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-18 19:37:52.736031
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-18 19:37:52.736188
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-18 19:37:52.736338
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-18 19:37:52.736488
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-18 19:37:52.736922
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-18 19:37:52.737078
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-18 19:37:52.737227
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-18 19:37:52.737402
Pants 22,4319680.0,4.9,3,M,Men,2025-05-18 19:37:54.967612
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-18 19:37:54.967758
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-18 19:37:54.967908
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-18 19:37:54.968053
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-18 19:37:54.968203
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-18 19:37:54.968350
Pants 28,5216160.0,4.0,3,L,Men,2025-05-18 19:37:54.968496
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-18 19:37:54.968644
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-18 19:37:54.968791
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-18 19:37:54.969085
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-18 19:37:54.969229
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-18 19:37:54.969373
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-18 19:37:54.969516
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-18 19:37:54.969661
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-18 19:37:54.969809
T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-18 19:37:54.969957
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-18 19:37:54.970101
Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-18 19:37:54.970245
Jacket 42,6744160.0,3.7,3,M,Unisex,2025-05-18 19:37:57.222465
Crewneck 43,2909600.0,4.5,3,L,Men,2025-05-18 19:37:57.222546
T-shirt 44,3312320.0,3.0,3,XL,Women,2025-05-18 19:37:57.222626
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-05-18 19:37:57.222705
Outerwear 47,6364640.0,3.2,3,M,Women,2025-05-18 19:37:57.222880
Jacket 48,4994720.0,3.4,3,L,Unisex,2025-05-18 19:37:57.222962
Crewneck 49,1071200.0,4.0,3,XL,Men,2025-05-18 19:37:57.223042
T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-05-18 19:37:57.223127
Pants 52,1596480.0,4.0,3,M,Men,2025-05-18 19:37:57.223289
Outerwear 53,4470880.0,4.3,3,L,Women,2025-05-18 19:37:57.223369
Jacket 54,854560.0,4.2,3,XL,Unisex,2025-05-18 19:37:57.223454
Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-05-18 19:37:57.223536
T-shirt 56,4643040.0,3.8,3,S,Women,2025-05-18 19:37:57.223618
Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-05-18 19:37:57.223704
Pants 58,1637760.0,4.4,3,L,Men,2025-05-18 19:37:57.223787
Outerwear 59,2254240.0,4.6,3,XL,Women,2025-05-18 19:37:57.223869
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2025-05-18 19:37:57.223951
T-shirt 62,1376480.0,3.8,3,M,Women,2025-05-18 19:37:59.493479
Hoodie 63,6479200.0,3.6,3,L,Unisex,2025-05-18 19:37:59.493559
Pants 64,7728480.0,4.0,3,XL,Men,2025-05-18 19:37:59.493640
Outerwear 65,2385920.0,4.1,3,XXL,Women,2025-05-18 19:37:59.493720
Jacket 66,4353120.0,3.5,3,S,Unisex,2025-05-18 19:37:59.493800
Crewneck 67,8470720.0,3.5,3,M,Men,2025-05-18 19:37:59.493883
T-shirt 68,8025280.0,4.0,3,L,Women,2025-05-18 19:37:59.493962
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2025-05-18 19:37:59.494044
